Node,Step,Graph,Correlation
11,1,IG,0.9999999999999999
11,1,EG,0.9999999999999999
11,2,IG,0.8401680504168058
11,2,EG,0.7705882352941176
11,3,IG,0.5557189302262112
11,3,EG,0.8635364422916818
11,4,IG,0.35877686197055475
11,4,EG,0.7889737196061071
11,5,IG,0.2974820586543648
11,5,EG,0.7747224358715119
11,6,IG,0.29880715233359845
11,6,EG,0.7851839029602492
11,7,IG,0.29880715233359845
11,7,EG,0.7851839029602492
11,8,IG,0.29880715233359845
11,8,EG,0.7851839029602492
11,9,IG,0.29880715233359845
11,9,EG,0.7851839029602492
11,10,IG,0.29880715233359845
11,10,EG,0.7851839029602492
11,11,IG,0.29880715233359845
11,11,EG,0.7851839029602492
11,12,IG,0.29880715233359845
11,12,EG,0.7851839029602492
11,13,IG,0.29880715233359845
11,13,EG,0.7851839029602492
11,14,IG,0.29880715233359845
11,14,EG,0.7851839029602492
11,15,IG,0.29880715233359845
11,15,EG,0.7851839029602492
11,16,IG,0.29880715233359845
11,16,EG,0.7851839029602492
11,17,IG,0.29880715233359845
11,17,EG,0.7851839029602492
11,18,IG,0.29880715233359845
11,18,EG,0.7851839029602492
11,19,IG,0.29880715233359845
11,19,EG,0.7851839029602492
11,20,IG,0.29880715233359845
11,20,EG,0.7851839029602492
12,1,IG,0.9743547036924464
12,1,EG,0.9987333750458025
12,2,IG,0.48352581802816
12,2,EG,0.3892907908677756
12,3,IG,0.4979295977319692
12,3,EG,0.5032919251568604
12,4,IG,0.6172797904903767
12,4,EG,0.6336690476264766
12,5,IG,0.6331855493801984
12,5,EG,0.7031854280763689
12,6,IG,0.641984288221239
12,6,EG,0.5891275307910041
12,7,IG,0.5968969663884087
12,7,EG,0.6822324358933265
12,8,IG,0.5968969663884087
12,8,EG,0.6784263971993609
12,9,IG,0.5974706301117687
12,9,EG,0.6733638720699223
12,10,IG,0.5974706301117687
12,10,EG,0.6733638720699223
12,11,IG,0.5974706301117687
12,11,EG,0.6733638720699223
12,12,IG,0.5974706301117687
12,12,EG,0.6733638720699223
12,13,IG,0.5974706301117687
12,13,EG,0.6733638720699223
12,14,IG,0.5974706301117687
12,14,EG,0.6733638720699223
12,15,IG,0.5974706301117687
12,15,EG,0.6733638720699223
12,16,IG,0.5974706301117687
12,16,EG,0.6733638720699223
12,17,IG,0.5974706301117687
12,17,EG,0.6733638720699223
12,18,IG,0.5974706301117687
12,18,EG,0.6733638720699223
12,19,IG,0.5974706301117687
12,19,EG,0.6733638720699223
12,20,IG,0.5974706301117687
12,20,EG,0.6733638720699223
13,1,IG,0.7319250547113998
13,1,EG,0.7319250547113998
13,2,IG,0.6273643326097712
13,2,EG,0.6273643326097712
